indice,pmos,nmos,nodo,saida,corrente,LETth
42.0,0.518,0.7875,g1,g1,118.75,59689153.43915344
43.0,0.3506,-0.6764,g1,g1,112.5,56547619.047619045
44.0,0.3708,-0.2638,g1,g1,112.5,56547619.047619045
45.0,0.6274,0.1919,g1,g1,118.75,59689153.43915344
46.0,1.532,-0.5351,g1,g1,143.75,72255291.00529101
47.0,1.4374,-0.6454,g1,g1,137.5,69113756.61375661
48.0,-0.4051,0.196,g1,g1,93.75,47123015.87301587
49.0,-0.2628,0.9222,g1,g1,100.0,50264550.26455026
50.0,-0.6328,1.0165,g1,g1,87.5,43981481.48148148
51.0,0.6245,-0.6784,g1,g1,121.875,61259920.63492063
52.0,-2.2493,0.3053,g1,g1,43.75,21990740.74074074
53.0,-0.04215,-0.9592,g1,g1,103.125,51835317.460317455
54.0,-0.5425,0.1657,g1,g1,90.625,45552248.67724867
55.0,-0.5351,-2.1742,g1,g1,90.625,45552248.67724867
56.0,0.5162,0.6256,g1,g1,118.75,59689153.43915344
57.0,2.4311,-0.1516,g1,g1,156.25,78538359.78835979
58.0,1.1689,0.2435,g1,g1,131.25,65972222.222222224
59.0,0.7134,-0.7225,g1,g1,125.0,62830687.830687836
60.0,-0.3699,0.4908,g1,g1,93.75,47123015.87301587
61.0,0.007852,0.2538,g1,g1,106.25,53406084.65608465
62.0,0.09554,-0.8248,g1,g1,106.25,53406084.65608465
63.0,0.8217,0.7771,g1,g1,125.0,62830687.830687836
64.0,1.4174,-0.1622,g1,g1,137.5,69113756.61375661
65.0,0.7071,-0.415,g1,g1,125.0,62830687.830687836
66.0,1.1765,0.9122,g1,g1,131.25,65972222.222222224
67.0,2.2676,1.3913,g1,g1,156.25,78538359.78835979
68.0,0.3937,0.4529,g1,g1,115.625,58118386.24338624
69.0,-1.1602,-0.1734,g1,g1,73.4375,36913029.100529104
70.0,-0.4119,-0.9557,g1,g1,93.75,47123015.87301587
71.0,0.6712,-2.1199,g1,g1,121.875,61259920.63492063
72.0,0.1568,-0.1575,g1,g1,109.375,54976851.85185184
73.0,1.1457,1.9248,g1,g1,131.25,65972222.222222224
74.0,-1.06,0.2998,g1,g1,75.0,37698412.6984127
75.0,-1.523,0.4708,g1,g1,62.5,31415343.915343918
76.0,-0.8827,-0.6197,g1,g1,81.25,40839947.08994709
77.0,-0.7305,-0.9771,g1,g1,84.375,42410714.285714276
78.0,-1.6127,1.7038,g1,g1,60.9375,30629960.317460313
79.0,0.1625,1.7432,g1,g1,109.375,54976851.85185184
80.0,1.3187,-1.6404,g1,g1,137.5,69113756.61375661
81.0,0.5441,0.4913,g1,g1,118.75,59689153.43915344
82.0,0.7632,-0.5486,g1,g1,125.0,62830687.830687836
83.0,-0.1878,0.5488,g1,g1,100.0,50264550.26455026
84.0,1.697,1.263,g1,g1,143.75,72255291.00529101
85.0,-0.2942,-0.9334,g1,g1,96.875,48693783.06878307
86.0,-1.7493,-0.1629,g1,g1,56.25,28273809.523809522
87.0,1.2566,-1.3562,g1,g1,137.5,69113756.61375661
88.0,-0.4722,-1.6025,g1,g1,93.75,47123015.87301587
89.0,1.4255,-1.592,g1,g1,137.5,69113756.61375661
90.0,-0.4341,-0.3785,g1,g1,93.75,47123015.87301587
91.0,-0.6114,0.8754,g1,g1,87.5,43981481.48148148
92.0,0.4087,0.06024,g1,g1,115.625,58118386.24338624
93.0,-0.7734,0.4984,g1,g1,84.375,42410714.285714276
94.0,-1.2969,-0.7143,g1,g1,68.75,34556878.306878306
95.0,-0.2235,-0.6503,g1,g1,100.0,50264550.26455026
96.0,-0.5821,-0.2358,g1,g1,90.625,45552248.67724867
97.0,0.3892,-0.09725,g1,g1,115.625,58118386.24338624
